ID,一级类目,细分赛道,产品形态,需求D,付费W,标准化S,搜索获客C,竞争K,合规版权R,更新U,售后A,机会分,掉坑指数,掉坑等级,优先级,关键判断
26,教育考试升学,教师资格证结构化面试题库,题型框架+答题模板+模拟题,9,8,8,9,9,6,8,3,71.3,63.0,高关注,B,题库版权与培训资质需谨慎
27,教育考试升学,考研复试流程+导师联系模板,时间线+邮件模板+复试问题库,9,8,9,9,8,6,7,3,74.4,58.6,高关注,B,时效性强，需避免承诺录取结果
28,教育考试升学,大学期末复习框架（专业课细分）,知识框架+题型索引+复习计划,8,6,8,8,9,7,8,2,63.8,67.4,高坑,C,高度同质化且易侵权
29,教育考试升学,小学入学/幼升小准备清单（非择校承诺）,能力清单+物品+作息+家长任务,9,8,9,10,7,5,7,3,78.0,52.8,高关注,A,做准备清单，不碰择校承诺
30,教育考试升学,中考/高考志愿信息整理模板（非推荐）,院校数据表+决策矩阵+时间线,10,9,9,10,8,8,10,4,75.2,68.8,高坑,C,高价值但高时效、高责任、高资质风险
31,教育考试升学,大学生奖学金/保研材料管理包,时间线+材料清单+成果台账,8,8,10,9,6,4,6,2,78.8,45.2,可控,A,管理工具型更稳
32,教育考试升学,家长会PPT+发言稿+流程工具包,PPT源文件+流程+签到/反馈表,8,8,10,9,8,5,5,2,76.5,52.2,高关注,A,模板化强，注意课件版权
33,AI Agent与效率,非程序员AI Agent项目式学习包,项目路线+模板+案例+作业,10,9,9,10,6,2,9,3,84.4,42.6,可控,S,热点强；用项目成果区别于泛教程
34,AI Agent与效率,个人知识库/研究助理Agent搭建包,架构图+Prompt+工作流+模板,9,9,9,10,5,2,8,3,83.9,39.0,可控,S,工具链更新快但付费价值高
35,AI Agent与效率,AI Agent安全/权限/成本实验包,实验清单+成本表+权限模型+评测,8,9,8,9,4,3,9,3,78.0,41.6,可控,S,差异化好，适合技术型创作者
36,AI Agent与效率,AI办公场景Prompt工作流包（岗位细分）,岗位工作流+Prompt+输入输出模板,9,8,10,10,9,2,8,2,80.2,50.0,高关注,B,泛Prompt高度红海，必须岗位化
37,AI Agent与效率,AI写作/自媒体内容流水线模板,选题→研究→写作→校对→发布流程,9,8,9,10,8,3,8,3,78.3,51.2,高关注,A,同质化中高，靠垂类Know-how
38,AI Agent与效率,AI PPT/Excel/周报自动化项目包,模板+案例文件+自动化步骤,9,8,9,9,8,3,8,3,76.7,51.2,高关注,A,适合结果交付式教学
39,AI Agent与效率,Codex/Claude Code个人开发工作台模板,项目结构+Skills+MCP+规则文件,8,9,8,9,5,2,9,4,77.5,42.4,可控,A,专业人群付费强，更新成本高
40,AI Agent与效率,本地RAG/知识库部署清单,软硬件选型+Docker编排+验收清单,8,9,8,8,5,2,8,4,76.6,40.8,可控,A,专业细分，适合高客单
41,旅行留学海外,城市3天/5天路线地图+预算包,地图PDF+路线+时间/预算表,10,8,9,10,8,4,9,3,78.8,55.0,高关注,A,旅游搜索旺，但信息更新快
42,旅行留学海外,亲子旅行年龄分层攻略,行程+午睡/餐饮/交通/备品清单,9,9,8,10,6,5,8,4,78.0,51.8,高关注,A,家庭场景强，注意安全/签证变化
43,旅行留学海外,自驾游路线+补能/停车/营地清单,路线表+补能点+停车/住宿备选,9,8,8,10,6,4,9,4,76.7,51.2,高关注,A,高度依赖实时信息
44,旅行留学海外,P人友好/反向旅行攻略包,弹性路线+备选库+避峰时间表,8,8,8,10,5,3,8,3,77.7,43.6,可控,A,符合当前慢旅行/反向旅行趋势
45,旅行留学海外,旅行摄影机位+时间光线地图,机位图+时间段+镜头建议,8,8,8,10,7,4,9,3,74.0,53.8,高关注,A,视觉内容强，地标限制需更新
46,旅行留学海外,留学申请时间线（国家×专业×入学季）,年度时间线+材料清单+进度表,9,9,9,10,8,7,10,4,74.0,66.6,高坑,C,高客单但强时效、资质与责任风险
47,旅行留学海外,海外租房入住/退租清单,看房问题表+验房/押金/搬家清单,9,8,9,9,6,5,8,3,76.7,51.6,高关注,A,实用但各地法律差异大
48,旅行留学海外,海外新生落地30天办事地图,SIM/银行卡/交通/校园/生活清单,9,8,10,9,6,5,10,3,76.7,54.8,高关注,B,每年/每地需高频维护
49,婚嫁家庭,备婚全流程12个月项目管理包,甘特图+预算+供应商+任务清单,10,9,10,10,8,2,5,3,86.6,41.8,可控,S,大项目强决策、强保存
50,婚嫁家庭,婚礼供应商询价/比价/合同检查表,询价表+打分矩阵+条款检查点,9,9,10,10,7,4,5,3,83.4,45.8,可控,A,强调信息整理，不做法律审查
51,婚嫁家庭,婚礼流程/主持/音乐cue表,Wedding timeline+人员职责+音乐点位,9,8,10,9,7,3,3,3,82.6,40.4,可控,S,强模板化、低更新
52,婚嫁家庭,领证/结婚登记材料清单（城市版）,材料表+预约流程+拍照准备,8,7,10,9,5,4,8,2,76.8,46.4,可控,A,需按城市维护官方流程
53,婚嫁家庭,新婚家庭共同财务启动包,预算表+账户规则+目标会议模板,8,8,9,9,5,3,4,3,80.3,37.2,可控,S,家庭协作工具型更安全
54,婚嫁家庭,家庭会议/家务分工系统,家务表+家庭会议议程+轮值模板,7,7,10,8,4,2,2,2,80.2,28.8,低,S,常青、低风险
55,婚嫁家庭,异地恋沟通与约会计划卡,沟通问题卡+共同计划+纪念日系统,7,6,9,9,6,4,2,3,74.3,42.2,可控,A,情绪价值强，避免心理治疗定位
56,婚嫁家庭,分手后物品/账户/生活重建清单,账户整理+物品交接+30天重建计划,7,6,9,9,5,5,2,3,74.3,42.4,可控,A,生活管理，不碰法律/心理诊断
57,宠物,狗狗护食纠正观察+训练计划（非医疗）,行为记录+训练步骤+安全注意,9,8,8,10,6,5,4,5,78.7,47.2,可控,A,具体痛点转化强，需强调安全边界
58,宠物,狗狗爆冲/随行训练项目卡,7/14/30天训练卡+记录表,9,8,9,10,6,4,4,4,81.6,43.2,可控,S,痛点明确，可项目化
59,宠物,猫咪居家丰容DIY项目卡,空间评估+DIY卡+玩具轮换表,9,8,9,10,5,3,3,3,84.8,34.8,可控,S,低风险高保存，优先级高
60,宠物,新手养猫30天清单,用品/空间/作息/观察记录,9,8,10,10,8,4,5,3,80.8,49.4,高关注,A,需求大但竞争高
61,宠物,多猫家庭资源分配与冲突记录表,资源点位图+冲突日志+调整计划,8,8,9,9,4,4,3,4,80.5,36.8,可控,S,细分痛点，竞争较低
62,宠物,宠物疫苗/驱虫/体检记录册（记录型）,日历+记录卡+就医资料夹,8,7,10,9,7,7,5,2,73.9,56.2,高关注,B,只做记录，不给医疗处置
63,宠物,宠物旅行/寄养交接清单,寄养说明书+紧急联系人+物品表,8,8,10,9,5,4,4,2,81.2,39.2,可控,S,场景明确、低售后
64,宠物,老年宠物居家照护记录系统,饮食/活动/用药记录+就诊资料整理,8,8,9,8,4,8,5,3,74.0,51.0,高关注,B,高价值但医疗边界高
65,健身健康,居家30分钟训练打卡计划（通用体能）,训练日历+动作记录+进度表,8,7,9,9,8,6,5,3,72.0,57.0,高关注,B,避免康复/疗效承诺
66,健身健康,跑步新手12周训练记录模板,训练计划框架+里程/RPE记录,8,8,9,9,7,5,4,3,76.3,48.8,可控,A,适合记录/进度工具
67,健身健康,健身房器械动作学习卡（非康复）,器械图解+训练日志,8,7,8,9,8,6,5,3,70.6,57.0,高关注,B,动作安全和版权需注意
68,健身健康,家庭健康档案/就诊资料整理模板,检查单索引+药物清单+就诊问题表,9,8,10,9,5,7,4,2,80.4,47.4,可控,A,高保存，但只能做资料管理
69,健身健康,慢病日常指标记录模板（纯记录）,血压/血糖等记录表+就医打印页,8,7,10,8,5,9,4,2,73.0,55.0,高关注,C,医疗敏感赛道，谨慎进入
70,健身健康,备餐/采购/冰箱库存计划,一周菜单+购物清单+库存表,8,7,10,9,6,3,3,2,80.3,38.2,可控,S,生活管理属性强，风险低
71,健身健康,睡眠习惯追踪与晚间例行程序,睡眠日志+习惯卡+环境检查表,7,6,10,8,6,6,2,2,72.6,47.2,可控,A,避免失眠治疗定位
72,健身健康,女性周期生活记录模板（非诊疗）,周期日志+状态记录+提醒,8,7,10,9,7,8,3,2,74.3,56.0,高关注,B,健康敏感，记录型更稳
73,兴趣手作创意,原创拼豆图纸包（主题系列）,色号图纸+材料清单+打印版,9,8,10,10,5,4,3,2,85.7,36.8,可控,S,视觉强、复购强；必须原创/授权
74,兴趣手作创意,图片转拼豆定制图纸服务,定制色号图+材料用量+预览,8,9,8,9,5,5,3,6,77.7,43.8,可控,A,定制溢价高，但售后更重
75,兴趣手作创意,可视化修补/刺子绣原创图样,图样PDF+针法卡+配色建议,7,8,9,9,3,3,2,2,82.0,28.2,低,S,竞争低、版权可控
76,兴趣手作创意,Book Nook书角微缩景观原创图纸,切割图+材料BOM+装配说明,7,9,7,9,3,4,3,4,78.1,34.0,低,S,高客单小众，适合原创设计
77,兴趣手作创意,钩织小物原创图解（非IP角色）,针法图+尺码+材料表,8,8,9,10,7,5,3,2,79.1,46.2,可控,A,避免动漫/IP角色侵权
78,兴趣手作创意,儿童纸艺/安静书原创打印包,打印PDF+剪裁说明+玩法卡,8,7,10,9,7,6,3,2,76.3,50.0,高关注,A,原创要求高，儿童安全内容需注意
79,兴趣手作创意,家庭节日装饰DIY模板,切割/打印模板+布置图,7,7,10,9,6,4,7,2,74.3,48.4,可控,A,节日季节性明显
80,兴趣手作创意,手帐功能页/生活记录打印包,A4/A5打印页+主题系统,7,6,10,9,9,3,3,2,73.5,48.2,可控,B,红海，需做极细场景/审美差异
81,内容创作与OPC,小红书选题-素材-发布-复盘Notion系统,模板+指标看板+内容日历,9,8,10,10,8,2,6,2,82.6,44.0,可控,S,适合创作者，但模板市场竞争较强
82,内容创作与OPC,垂类1000个搜索关键词/选题数据库,关键词库+意图分类+标题公式,9,8,9,10,7,3,9,2,79.1,49.0,可控,A,数据更新成本高，须说明采集日期
83,内容创作与OPC,小红书封面版式/信息层级模板,Canva/Figma源文件+字体排版规则,8,7,10,10,9,5,6,2,74.8,57.4,高关注,B,高度红海，字体/素材版权需审查
84,内容创作与OPC,短视频口播脚本结构库（行业细分）,脚本框架+案例+镜头表,8,8,9,9,8,3,6,2,76.4,47.8,可控,A,必须按行业/客单细分
85,内容创作与OPC,OPC一人公司运营OS,线索/项目/交付/财务/SOP模板,8,9,9,9,5,2,5,3,82.2,35.0,可控,S,高付费意愿，适合专业人群
86,内容创作与OPC,自由职业报价/提案/交付模板包,报价单+SOW+提案+验收+复购,9,9,10,9,5,3,4,2,86.0,34.6,可控,S,直接关联收入，价值感强
87,内容创作与OPC,数字产品30天验证SOP,选题评分+访谈+预售+复盘模板,8,9,9,9,6,3,5,3,80.2,40.8,可控,S,结果导向，适合陪跑式升级
88,内容创作与OPC,小微企业客户访谈/销售脚本包,访谈问题+CRM字段+跟进节奏,7,9,9,8,4,3,4,3,79.1,34.4,可控,S,B2B轻咨询+模板组合潜力大
89,汽车数码消费,二手车看车/验车清单（非鉴定）,检查表+照片取证+问题清单,9,9,9,10,6,5,7,3,80.6,49.2,高关注,A,高价值决策，避免鉴定/保证结论
90,汽车数码消费,新车提车验收清单,PDI检查+资料+保险/交车流程,9,8,10,10,6,4,6,2,82.6,44.4,可控,S,强保存、低售后
91,汽车数码消费,新能源长途出行充电规划模板,路线+补能点+备选+费用表,8,8,8,9,5,4,10,3,73.7,49.8,高关注,B,实时信息更新成本极高
92,汽车数码消费,家庭第一辆车需求决策矩阵,需求问卷+车型参数比对+总成本表,9,8,9,10,6,4,8,3,79.3,48.6,可控,A,做需求决策，不做投资/保险承诺
93,汽车数码消费,手机/电脑选购需求矩阵（人群版）,参数解释+决策表+型号对比框架,9,7,9,10,9,3,10,2,74.8,57.0,高关注,B,竞争与更新双高
94,汽车数码消费,NAS/家庭存储搭建清单,硬件BOM+网络拓扑+备份检查表,8,9,8,9,5,2,8,4,78.2,40.8,可控,S,技术专业型、客单好
95,汽车数码消费,家庭网络/Wi-Fi布点规划模板,户型点位+设备清单+验收测试,8,9,8,9,4,2,6,4,80.6,34.8,可控,S,细分明确、竞争低
96,汽车数码消费,智能家居设备选型与兼容矩阵,协议/生态/场景/预算对比表,8,9,8,9,5,3,9,4,76.5,45.4,可控,A,产品生态变化快
97,个人财务,家庭月度预算+沉没资金账户系统,预算表+年度目标+分类规则,8,8,10,9,7,3,3,2,80.9,40.2,可控,S,工具型，避免金融建议
98,个人财务,订阅/会员/年费追踪器,续费日历+成本统计+取消清单,7,6,10,8,5,2,2,1,78.1,31.4,低,S,低风险常青型
99,个人财务,结婚/装修/生娃大额项目现金流表,项目预算+支付节点+应急金,9,9,10,9,5,3,4,2,86.0,34.6,可控,S,大额决策辅助，价值高
100,个人财务,信用卡账单/还款管理表（不含代偿建议）,账单日历+还款提醒+费用统计,8,7,10,8,6,5,3,2,76.7,44.2,可控,A,只做记录/提醒，不给借贷建议
101,个人财务,自由职业收入/税前税后台账,收入台账+发票/成本记录+季度复盘,8,8,9,8,5,6,7,3,73.6,51.0,高关注,A,税务规则需更新并引用官方
102,个人财务,家庭资产盘点与重要文件索引,资产清单+保单/证件/账户索引,7,7,10,8,4,4,3,2,77.5,36.4,可控,A,高隐私感但低资质风险
103,个人财务,旅行费用AA/共同预算模板,多人费用+汇率+结算表,7,6,10,8,6,2,3,1,76.4,35.8,可控,A,工具简单，客单较低
104,个人财务,购房总成本/装修后现金流测算表（非投资建议）,首付税费装修持有成本计算表,9,9,9,10,6,6,9,3,78.2,55.4,高关注,B,房产/金融边界与数据更新要严控
105,办事法律民生,搬家/换城市全流程办事清单,地址变更+水电网+证件+搬运任务,9,8,10,9,5,2,6,2,84.0,35.6,可控,S,高执行价值、低资质
106,办事法律民生,租房入住/退租验房取证清单,验房照片清单+交接表+押金事项,9,8,10,10,6,4,6,2,82.6,44.4,可控,S,证据整理型，避免法律结论
107,办事法律民生,劳动争议证据整理/流程图（信息整理版）,证据目录+时间线+办事节点,9,8,9,10,6,10,9,4,72.1,69.2,高坑,C,法律强资质高风险，不宜主攻
108,办事法律民生,社保/公积金常见办事流程城市版,流程图+材料清单+官方入口索引,9,7,9,9,6,7,10,3,71.7,61.6,高关注,B,城市规则变化快，需官方更新
109,办事法律民生,新公司开办行政清单（基础版）,营业执照后事项+账户+章证照台账,8,9,9,8,5,7,9,3,72.8,56.4,高关注,B,企业办事规则更新快
110,办事法律民生,家庭证件到期/续期提醒系统,证照目录+到期提醒+材料备忘,7,6,10,8,4,3,4,1,76.7,34.8,可控,A,低风险、长期使用
111,办事法律民生,遗失证件应急补办清单,身份证/银行卡/手机等分场景步骤,8,7,10,9,5,4,8,2,76.8,46.4,可控,A,需持续维护官方入口
112,办事法律民生,个人隐私/数字账号离职交接清单,账号/设备/云盘/权限收回步骤,8,8,9,8,4,3,4,2,80.2,33.4,低,S,场景实用，专业感强
113,审美穿搭摄影,身型/衣橱盘点与穿搭决策模板,衣橱清单+场景矩阵+缺口表,8,7,9,10,7,3,4,3,78.3,43.6,可控,S,强调自我适配，不做身材焦虑
114,审美穿搭摄影,旅行胶囊衣橱搭配清单,天数×天气×场景搭配表,8,7,10,10,6,2,5,2,81.5,38.4,可控,S,搜索场景明确，模板化高
115,审美穿搭摄影,毕业照/证件照拍摄准备指南,动作表+服装/妆发/道具清单,8,7,9,9,6,2,4,2,79.2,36.8,可控,S,季节性但低风险
116,审美穿搭摄影,手机摄影参数/构图场景卡,场景参数卡+构图练习+后期步骤,8,7,9,10,8,3,7,2,75.7,50.2,高关注,A,竞争中高，可按机型/场景细分
117,审美穿搭摄影,家庭照片年度整理与选片系统,文件命名+筛选规则+打印相册计划,7,7,10,8,4,2,2,2,80.2,28.8,低,S,常青、低风险
118,审美穿搭摄影,小红书产品拍摄布光/道具平面图,俯拍布局+布光图+道具清单,8,8,9,9,6,3,6,3,77.9,43.2,可控,A,电商/创作者工具，付费明确
119,审美穿搭摄影,个人品牌视觉规范轻量包,字体/版式/封面/色彩规则模板,8,9,8,9,5,4,5,4,78.3,42.0,可控,S,可服务化升级，注意字体授权
120,审美穿搭摄影,租房/小家拍照机位与陈列指南,机位图+光线表+陈列清单,7,7,9,9,4,2,3,3,79.2,31.4,低,S,家居摄影交叉，竞争低
